rank_test_score,mean_test_score,std_test_score,base_score,booster,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
1,0.96733165258889,0.000460267777857869,0.1,gbtree,0.15,3,1000,0.3,0.7
2,0.9672049381048773,0.0007475336308410891,3.0,dart,0.2,3,500,0.3,0.0
3,0.9671584828078632,0.00032375240196449865,0.6,gbtree,0.2,3,2000,0.3,1.0
4,0.9670332363267417,0.0005309089743952158,1.0,gbtree,0.15,3,1000,0.3,0.9
5,0.9670049371266642,0.0006228116294059858,1.0,dart,0.1,5,100,0.3,0.1
6,0.9667580822019743,0.0013143825900010246,0.6,dart,0.01,5,500,0.1,0.1
7,0.9666907120493677,0.0005913183253529467,0.6,dart,0.1,3,1000,0.7,0.0
8,0.9666466468438519,0.0008627053932270415,0.3,gbtree,0.15,5,500,0.7,0.0
9,0.9664848707063336,0.0010675894827488325,0.3,dart,0.2,5,500,0.7,0.7
10,0.9664795305732761,0.0005830849519834887,0.6,dart,0.15,3,2000,0.7,0.9
11,0.9664576372077774,0.0011132883438996512,2.0,gbtree,0.1,5,100,0.1,0.3
12,0.9662822618268857,0.000283208994251406,0.3,dart,0.2,3,2000,0.9,0.7
13,0.966205199813786,0.0007075428143887238,1.0,dart,0.2,3,1000,0.9,0.1
14,0.9661984383405059,0.0011462639945337024,2.0,dart,0.01,20,1000,0.3,0.0
15,0.96616881357414,0.0007132632828341948,1.0,gbtree,0.3,5,2000,0.3,0.3
16,0.9659786510704028,0.0010558542389639978,2.0,gbtree,0.1,5,500,0.1,0.1
17,0.9658634445066085,0.0013121457482221134,2.0,dart,0.01,3,1000,0.0,0.1
18,0.9658389294596839,0.0013416832435361977,0.6,dart,0.3,5,2000,0.7,0.1
19,0.9658316698396076,0.000608124400313717,2.0,gbtree,0.15,3,2000,1.0,0.1
20,0.9658086150100424,0.0014261911739061113,2.0,dart,0.2,5,1000,0.7,0.9
21,0.9657772346826868,0.0010568160003623956,1.0,dart,0.15,10,500,0.3,0.7
22,0.9657209515237154,0.00057972299750847,0.1,dart,0.01,3,2000,1.0,0.7
23,0.965593759435659,0.0020047447349363337,2.0,dart,0.2,5,500,0.7,0.3
24,0.9655807226167606,0.001401649321683616,1.0,dart,0.15,7,2000,0.3,0.1
25,0.9655447291253085,0.001831691292614044,1.0,dart,0.01,15,1000,0.3,0.0
26,0.9655124402662209,0.0017612455311971965,1.0,dart,0.05,15,1000,0.3,0.3
27,0.9654978524680261,0.0016262194740426015,2.0,dart,0.05,5,1000,1.0,0.0
28,0.9654287310051681,0.0010566642775527012,2.0,gbtree,0.2,10,500,0.3,0.7
29,0.9654197610890386,0.0016359204094521821,1.0,dart,0.1,5,500,1.0,0.1
30,0.9653734358047279,0.001585308272318455,0.6,gbtree,0.1,7,1000,0.1,0.9
31,0.9652823192353378,0.0015207532342525877,1.0,gbtree,0.3,7,100,0.3,0.1
32,0.9651384501745918,0.0020514141872079294,0.6,dart,0.1,5,1000,1.0,1.0
33,0.9651206203797543,0.0016018636487882825,1.0,dart,0.01,15,500,0.1,0.7
34,0.9650806922008002,0.0014764049387519052,2.0,gbtree,0.2,20,100,0.3,0.1
35,0.9650740031480564,0.0010852594089292705,3.0,dart,0.3,10,1000,0.3,0.3
36,0.9650696463212868,0.0017839595018259132,0.1,gbtree,0.2,5,1000,0.1,0.7
37,0.9650505115275679,0.0015206497871291915,0.6,gbtree,0.15,20,2000,0.3,0.0
38,0.9650147789398347,0.0011183016006546514,1.0,dart,0.3,5,100,0.1,0.0
39,0.964993734800256,0.0018920288481730986,1.0,gbtree,0.15,10,100,0.3,0.1
40,0.9649250564035854,0.0005808167658348102,2.0,gbtree,0.5,5,100,0.3,1.0
41,0.9648696147437629,0.0020477343735084384,2.0,gbtree,0.15,15,2000,0.9,0.0
42,0.9648330161673827,0.0029653776813275117,0.1,dart,0.1,5,1000,0.7,0.9
43,0.9648145258965943,0.0005449839915612096,0.3,gbtree,0.5,5,500,1.0,0.1
44,0.9648017694740895,0.0018705559179082363,2.0,dart,0.3,15,500,0.3,0.0
45,0.9647727628405582,0.0016941800445980017,1.0,dart,0.15,3,2000,0.1,1.0
46,0.9646670902150819,0.0009440803104657484,1.0,gbtree,0.5,5,500,0.9,0.7
47,0.9646565146420572,0.0023269831091489966,0.6,dart,0.01,7,2000,1.0,0.0
48,0.9646508716874113,0.0011031287731961229,3.0,gbtree,0.5,5,100,1.0,0.7
49,0.9646144367406437,0.0022282914070602955,1.0,dart,0.1,10,100,0.7,0.1
50,0.9645834192702796,0.0023013428278387234,0.3,dart,0.01,20,2000,0.3,0.0
51,0.9645674957750142,0.0008365450252660743,1.0,dart,0.5,3,1000,0.9,0.0
52,0.9645262160459809,0.001988673214005931,0.6,dart,0.2,15,100,0.9,1.0
53,0.9644960348461802,0.00267076719666304,0.6,dart,0.01,15,1000,0.7,1.0
54,0.9644748796573868,0.0019946081111496842,2.0,gbtree,0.3,7,500,1.0,0.7
55,0.9642681524738547,0.0029077326690250174,3.0,gbtree,0.15,15,100,0.7,0.9
56,0.9642542321576173,0.002905886046572318,0.6,gbtree,0.05,15,1000,0.9,0.1
57,0.9641432532615885,0.003196411484506223,0.6,dart,0.05,20,500,0.9,0.7
58,0.9640183524387175,0.0015817039804358747,3.0,gbtree,0.05,15,2000,0.0,0.3
59,0.9640161614131896,0.002756475768519698,3.0,dart,0.15,10,2000,0.9,1.0
60,0.9639104031217107,0.0029194218963438877,0.6,gbtree,0.2,7,500,0.9,0.0
61,0.9638780257689162,0.0017182380174916032,0.3,dart,0.3,3,100,0.0,0.9
62,0.9638075362254407,0.0023040709465389116,0.3,dart,0.05,20,1000,0.1,0.1
63,0.9637394966537848,0.0030734626246884072,0.6,gbtree,0.1,10,1000,1.0,0.7
64,0.9636978164485736,0.0034902283461054387,3.0,gbtree,0.15,15,100,1.0,0.0
65,0.9636961283559852,0.001449636852770185,1.0,gbtree,0.3,15,500,0.1,0.3
66,0.9636736829048353,0.0016071937563620917,2.0,dart,0.01,20,500,0.1,0.1
67,0.9636681029852426,0.002970120924429156,0.1,gbtree,0.3,5,500,0.9,0.3
68,0.9636133686775906,0.0023164885100508186,2.0,gbtree,0.3,15,500,0.9,1.0
69,0.963611756904108,0.001060150188122848,2.0,gbtree,0.5,10,500,0.1,0.9
70,0.963582969649535,0.0033024019635875183,1.0,dart,0.1,10,500,1.0,0.7
71,0.9635671043556192,0.003049867648341435,2.0,gbtree,0.1,10,500,1.0,0.3
72,0.9634614678779726,0.0018323380077887791,2.0,gbtree,0.01,7,2000,0.0,0.9
